wavelength,ew,id
4016.423,68,Fe I
4017.100,149,Fe I
4017.471,86,Ni I
4018.104,139,Mn I
4018.271,92,Fe I
4019.053,49,Ni I
4019.297,18,Co I
4020.193,107,CH
4020.397,56,Sc I
4020.905,80,Co I
4021.623,68,Fe I
4021.870,121,Fe I
4022.745,52,Fe I
4023.011,18,Nd II
4023.384,67,V II
4024.100,66,Fe I
4024.732,104,Fe I
4025.134,84,Ti II
4025.308,14,CH
4026.168,43,Cr I
4026.436,53,Mn I
4027.104,67,Cr I
4027.672,49,Ni I
4027.943,28,CH
4028.346,90,Ti II
4028.763,43,Fe I
4029.642,108,Fe I
4030.190,64,Fe I
4030.497,92,Fe I
4030.763,326,Mn I
4031.340,12,Ce II
4031.969,69,Fe I
4032.463,75,Fe I
4033.186,60,Fe I
4033.660,46,Fe I
4034.232,50,CH
4034.492,213,Mn I
4034.870,28,Ti I
4035.732,216,Mn I
4035.984,16,Fe I
4036.377,24,Fe I
4037.121,44,Fe I
4037.688,22,Fe I
4037.913,4.5,Gd II
4038.627,26,Fe I
4038.795,64,Fe I
4039.574,9,V II
4040.097,61,Fe I
4040.647,78,Fe I
4040.790,39,Ce II
4041.283,168,Fe I
4041.914,13,Fe I
4042.592,13,Ce II
4042.907,18,Sm II
4043.346,24,CH
4043.906,146,Fe I
4044.615,105,Fe I
4045.115,50,Fe I
4045.390,48,Co I
4045.825,1174,Fe I
4046.459,19,Fe I
4046.760,7.5,Cr I
4047.310,41,Fe I
4048.072,24,CH
4048.555,7,Fe I
4048.753,138,Mn I
4049.336,62,Fe I
4049.862,11,Gd II
4050.680,57,Fe I
4051.187,21,Ni I
4051.337,33,V I
4051.918,79,Fe I
4052.456,96,Fe I
4052.940,32,Ti I
4053.271,61,Fe I
4053.824,65,Ti II
4054.442,28,Fe I
4054.815,135,Fe I
4055.551,114,Mn I
4056.195,30,Ti II
4056.347,38,Fe I
4057.218,57,Co I
4057.515,197,Mg I
4057.813,16,Pb I
4058.598,29,Co I
4058.931,89,Mn I
4059.722,70,Fe I
4059.966,6,Nd II
4060.269,34,Ti I
4061.733,64,Mn I
4062.232,6,Ce II
4062.447,98,Fe I
